tripduration,starttime,startstationid,startstationlatitude,startstationlongitude,endstationid,usertype
383,2019-01-01 08:14:22,529,40.7575699,-73.99098507,423,Subscriber
982,2019-01-01 08:14:59,485,40.75038009,-73.98338988,446,Customer
408,2019-01-01 08:15:19,3283,40.7882213,-73.97041561,3360,Subscriber
400,2019-01-01 08:15:23,2012,40.739445,-73.976806,3255,Subscriber
645,2019-01-01 08:15:20,342,40.71739973,-73.98016555,2009,Subscriber
13473,2019-01-01 08:15:26,485,40.75038009,-73.98338988,432,Customer
125,2019-01-01 08:15:40,497,40.73704984,-73.99009296,382,Subscriber
434,2019-01-01 08:15:40,3719,40.68322254,-73.97381186,3637,Subscriber
691,2019-01-01 08:15:47,285,40.73454567,-73.99074142,379,Subscriber
141,2019-01-01 08:15:47,3718,40.72746421,-73.97950418,394,Subscriber
195,2019-01-01 08:15:55,3087,40.71413311,-73.95234386,539,Subscriber
883,2019-01-01 08:16:01,296,40.71413089,-73.9970468,403,Subscriber
225,2019-01-01 08:16:12,3167,40.77966809,-73.98093045,3177,Subscriber
443,2019-01-01 08:16:58,472,40.7457121,-73.98194829,168,Subscriber
225,2019-01-01 08:17:01,3226,40.78275,-73.97137,3165,Subscriber
156,2019-01-01 08:17:05,3630,40.8038654,-73.9559308,3374,Subscriber
1041,2019-01-01 08:17:13,3108,40.72557,-73.94434,532,Customer
868,2019-01-01 08:17:13,3108,40.72557,-73.94434,532,Customer
77,2019-01-01 08:17:29,314,40.69383,-73.990539,3242,Subscriber
4090,2019-01-01 08:17:34,3178,40.78414472,-73.98362492,3178,Subscriber
713,2019-01-01 08:17:33,3066,40.69957608,-73.94708417,3637,Subscriber
128,2019-01-01 08:17:38,545,40.736502,-73.97809472,545,Subscriber
774,2019-01-01 08:17:51,470,40.74345335,-74.00004031,447,Subscriber
1057,2019-01-01 08:17:58,426,40.71754834,-74.01322069,380,Subscriber
381,2019-01-01 08:17:57,350,40.71559509,-73.9870295,265,Subscriber
1727,2019-01-01 08:17:59,2009,40.71117444,-73.99682619,3236,Subscriber
1856,2019-01-01 08:18:22,2008,40.70569254,-74.01677685,478,Subscriber
1207,2019-01-01 08:18:37,3378,40.773763,-73.96222088,3622,Subscriber
1982,2019-01-01 08:18:42,3463,40.73536706,-73.98797393,3459,Customer
683,2019-01-01 08:18:44,498,40.74854862,-73.98808416,127,Subscriber
300,2019-01-01 08:19:01,305,40.76095756,-73.96724467,3136,Subscriber
432,2019-01-01 08:19:03,529,40.7575699,-73.99098507,494,Subscriber
423,2019-01-01 08:19:18,342,40.71739973,-73.98016555,432,Subscriber
2283,2019-01-01 08:19:21,529,40.7575699,-73.99098507,3233,Customer
2285,2019-01-01 08:19:22,529,40.7575699,-73.99098507,3233,Customer
1873,2019-01-01 08:19:27,401,40.72019576,-73.98997825,3367,Subscriber
280,2019-01-01 08:19:34,546,40.74444921,-73.98303529,519,Subscriber
211,2019-01-01 08:19:41,3106,40.72325,-73.94308,3100,Subscriber
1538,2019-01-01 08:19:52,446,40.74487634,-73.99529885,223,Customer
922,2019-01-01 08:19:51,426,40.71754834,-74.01322069,3260,Subscriber
878,2019-01-01 08:19:53,293,40.73020661,-73.99102628,3255,Subscriber
416,2019-01-01 08:20:03,3427,40.72430527,-73.99600983,531,Subscriber
406,2019-01-01 08:20:02,394,40.72521311,-73.97768752,3263,Subscriber
406,2019-01-01 08:20:19,498,40.74854862,-73.98808416,3258,Subscriber
1245,2019-01-01 08:20:24,3467,40.72494672,-74.00165856,478,Subscriber
621,2019-01-01 08:20:21,3580,40.6737236,-73.9631611,258,Subscriber
369,2019-01-01 08:20:27,350,40.71559509,-73.9870295,2009,Subscriber
171,2019-01-01 08:20:38,3374,40.799484,-73.955613,3302,Subscriber
811,2019-01-01 08:20:39,462,40.74691959,-74.00451887,362,Subscriber
498,2019-01-01 08:20:46,474,40.7451677,-73.98683077,3680,Subscriber
248,2019-01-01 08:20:55,403,40.72502876,-73.99069656,317,Subscriber
82,2019-01-01 08:21:00,3346,40.67514684,-73.97523209,3339,Subscriber
1209,2019-01-01 08:21:07,412,40.7158155,-73.99422366,167,Customer
265,2019-01-01 08:21:24,3321,40.6831164,-73.99785267,3410,Subscriber
443,2019-01-01 08:21:34,361,40.71605866,-73.99190759,236,Subscriber
1573,2019-01-01 08:22:05,513,40.768254,-73.988639,450,Subscriber
531,2019-01-01 08:22:22,3223,40.75899656,-73.96865398,3372,Subscriber
642,2019-01-01 08:22:13,545,40.736502,-73.97809472,341,Subscriber
852,2019-01-01 08:22:18,3127,40.74966,-73.9521,3130,Customer
865,2019-01-01 08:22:26,353,40.68539567,-73.97431458,3585,Subscriber
243,2019-01-01 08:22:50,330,40.71450451,-74.00562789,360,Subscriber
704,2019-01-01 08:23:06,3474,40.7252557,-74.00412083,546,Subscriber
116,2019-01-01 08:23:13,326,40.72953837,-73.98426726,432,Subscriber
449,2019-01-01 08:23:28,490,40.751551,-73.993934,480,Subscriber
1336,2019-01-01 08:24:10,3674,40.70140317,-73.9867267,376,Subscriber
163,2019-01-01 08:24:17,328,40.72405549,-74.00965965,128,Subscriber
2592,2019-01-01 08:24:29,502,40.714215,-73.981346,426,Subscriber
518,2019-01-01 08:24:44,281,40.7643971,-73.97371465,3233,Customer
505,2019-01-01 08:24:53,281,40.7643971,-73.97371465,3233,Customer
921,2019-01-01 08:24:55,3453,40.71335226,-73.94910336,3118,Subscriber
355,2019-01-01 08:25:06,293,40.73020661,-73.99102628,445,Subscriber
178,2019-01-01 08:25:45,400,40.71926081,-73.98178024,393,Subscriber
378,2019-01-01 08:25:55,2021,40.75929124,-73.98859651,359,Subscriber
153,2019-01-01 08:25:52,3314,40.7937704,-73.971888,3434,Subscriber
439,2019-01-01 08:26:06,3331,40.8013434,-73.97114574,3293,Subscriber
897,2019-01-01 08:26:13,487,40.73314259,-73.97573881,212,Subscriber
915,2019-01-01 08:26:22,504,40.73221853,-73.98165557,529,Subscriber
686,2019-01-01 08:26:24,3255,40.75058535,-73.99468482,265,Subscriber
120,2019-01-01 08:26:25,492,40.75019995,-73.99093085,486,Subscriber
1005,2019-01-01 08:27:00,368,40.73038599,-74.00214988,3173,Subscriber
2668,2019-01-01 08:27:02,3295,40.79127,-73.964839,281,Subscriber
315,2019-01-01 08:26:59,447,40.76370739,-73.9851615,524,Subscriber
752,2019-01-01 08:27:04,120,40.68676793,-73.95928168,2002,Subscriber
